id,window_width,window_height
LMU_889_B,1440,900
LMU_256_B,1366,768
LMU_114_B,1440,900
LMU_926_A,1920,1080
LMU_208_B,1536,864
LMU_620_B,1536,684
LMU_439_B,1536,864
LMU_465_B,1280,720
LMU_651_B,1440,900
LMU_107_A,1536,864
LMU_248_A,1280,800
LMU_379_B,1536,754
LMU_299_B,1440,900
LMU_287_A,1440,900
LMU_418_B,1920,1080
LMU_577_B,1366,768
LMU_883_A,1536,864
LMU_329_A,1495,831
LMU_630_B,1920,1080
LMU_932_B,1440,900
LMU_166_B,1600,900
LMU_569_A,1536,864
LMU_288_A,1536,754
LMU_180_A,1440,900
LMU_355_A,1536,864
LMU_680_A,1536,864
LMU_710_B,1536,864
LMU_369_A,1368,912
LMU_948_A,1536,864
LMU_111_A,1280,800
LMU_732_B,1792,943
LMU_307_A,1536,864
LMU_711_A,1366,625
LMU_775_B,1440,900
LMU_874_B,1440,900
LMU_372_B,1440,900
LMU_421_A,1280,720
LMU_787_B,1536,864
LMU_199_B,1368,912
LMU_786_B,1600,900
LMU_412_B,1280,720
LMU_999_A,1366,657
LMU_746_A,1366,768
LMU_842_B,1252,704
LMU_447_A,1280,720
LMU_962_A,1920,1080
LMU_456_B,1536,864
LMU_129_B,2240,1260
LMU_991_B,1440,900
LMU_761_B,1536,864
LMU_992_A,1280,800
LMU_108_A,1366,768
LMU_995_A,1440,900
LMU_122_A,1280,720
LMU_657_A,1600,900
LMU_720_A,1280,720
LMU_745_A,1280,720
LMU_767_A,1440,900
LMU_562_A,1280,800
LMU_762_A,1536,864
LMU_968_A,1366,768
LMU_778_A,1920,1080
LMU_774_B,1536,864
LMU_315_A,1536,864
LMU_290_B,1366,768
LMU_466_A,1736,1239
LMU_158_B,1920,1080
LMU_557_A,1536,864
LMU_469_A,1920,1080
LMU_644_B,1280,720
LMU_754_B,1440,900
